"array_index","scenario_id","v2_job_id","v2_scheduler_status","v2_scientifically_eligible","v3_retry_required","v2_expected_raw_log_round10_sha256","v2_expected_clean_log_round10_sha256","v3_expected_raw_log_round9_sha256","v3_expected_clean_log_round9_sha256","v3_local_vs_euler_login_round9_match","v2_failure_archive"
11,"CONF01_batch_0p90","8396751","completed_v2_scientifically_ineligible",FALSE,TRUE,"eb0fcbd88ab4622e9d5245efa0b5f13cd835aa628ae022e31e9bd63eeb9cbf23","441eb598ea53b634b6b33a94146730015a61c85ad5982b171553171d5f1cb0b3","87c6c46508935334f3ab4f22472089d0f344bbfaaa14540e3b6b29dc36c56c98","2aac940b7a5bee0ed2f687364d53627ec3de109ea7d819c355f73760928f2eff",TRUE,"full_grid/archive/partial_confounding_v2_round10_portability_failure_20260724T1000+0200"
12,"CONF01_run_order_0p90","8396751","completed_v2_scientifically_ineligible",FALSE,TRUE,"60f39b63cc7e6377aabce38ce5cf80e0a442f2c24950a149de7ae4ec430ee392","d73cbaca9a74e5f366695333067cd06297a5660b3a8da443a9fe29ca64bb713f","2bb022c39146a9a81791598b2497dcc6b22aade9d20c441f8987b9f596f1dc9e","a6e4019fc6cf7eda17f9387a8804e8e518d11bcf0c153888513dcdaa46455b03",TRUE,"full_grid/archive/partial_confounding_v2_round10_portability_failure_20260724T1000+0200"
13,"CONF01_joint_0p90","8396751","completed_v2_scientifically_ineligible",FALSE,TRUE,"51000d438fa30faf6ff0c83e89cf0be8f7f72cfaa01d1486b14b04142fd62ee3","dba6bd74f3d8ff8fbc7c1ccfeb0bbed4b5053dc6daaedc9bdb7c53f53913c147","503c241657a65ed1803972d6c25b9931cf81b6646aec8f515c64825aaea1279e","a0ca460797f23b3b0b9ca6e2132e4f2d2f81853b4ea3a4fde23cd35cf1c3fe21",TRUE,"full_grid/archive/partial_confounding_v2_round10_portability_failure_20260724T1000+0200"
14,"CONF01_batch_1p00","8396751","completed_v2_scientifically_ineligible",FALSE,TRUE,"399bf2c6cc7ba64e139c11aa7bbeed2f9fdf173084955252e7df12dd9d89307b","67ad792f846af87af666154e97ede0405adc51d7e27e07bb1f8851e4dd08d5ef","ef66760f34a1a1a6c2c3411cf0ab6dce4871871fd29c4121b56b86659a4e9974","5589b83f5e131af57495bd1af733bfd6b0ad6ca2a21d8038e3aff30c6c3153a9",TRUE,"full_grid/archive/partial_confounding_v2_round10_portability_failure_20260724T1000+0200"
15,"CONF01_run_order_1p00","8396751","completed_v2_scientifically_ineligible",FALSE,TRUE,"8c9073a9475b66f771725207c727d3d34dda5ff02e29fa587995e31c6e7dfa60","4a1105b0e009b91b7919247c3c65715849a7f5992937918256456b4002fdb3df","34217e63636a305652dd81bd91b77f774fbbd00b28459ad1c4ee0472fa866fff","6756df47dbd0a7a0cecd391a91fb1eb17703b79136a98a25898db4d286a6215b",TRUE,"full_grid/archive/partial_confounding_v2_round10_portability_failure_20260724T1000+0200"
16,"CONF01_joint_1p00","8396751","completed_v2_scientifically_ineligible",FALSE,TRUE,"c56fbe52bbef7d6f05a959cef65ec6819af47f28021f35eb19278ebb194cc73c","9f4d87710aa49cd51e23fc53e83502b0874628412fa10e7114bf3e3b179e99ce","ed27b89c630177756a39d973393423b5bda139ecbe019d300686cb4293e35c1e","3d1467032b637e0c08547f4e4945243e97dc1644eff7e92c9d1e0afb614f56c0",TRUE,"full_grid/archive/partial_confounding_v2_round10_portability_failure_20260724T1000+0200"
17,"CONF02_none_0p00","8396751","completed_v2_scientifically_ineligible",FALSE,TRUE,"4e0b7e2400c9cb7c269a7ccfc77ebca6cb08cecb136a4e89836b9e31c22628fb","db36fd16a1e2552d3dc0643cc8cf825bb5313aa06e258175e57219a9e4f28c08","7858d1dd628d59b6bc512cb17c1246a12220e08c75c87f373e672691647e66aa","fb0f523f4a564d6d236cf3d4e260fd6190fed1e68bb49da364a96feda48436f8",TRUE,"full_grid/archive/partial_confounding_v2_round10_portability_failure_20260724T1000+0200"
18,"CONF02_batch_0p25","8396751","completed_v2_scientifically_ineligible",FALSE,TRUE,"433477e12bfe3cfb67fab99797d881158b45655c9036e9b8205868b2a7dd4ba9","3bbbfd0bba44ecd2093e7f01b48217e9d92799ca9c72b1b06240f225295f182e","a3d85f2d0184816743023f71c842f3905e71402970479a2304ede44a855b6b8d","0c2e9522bc94c17586361f48d7fb74898268f5bcf8c531abca19b1e18cd88588",TRUE,"full_grid/archive/partial_confounding_v2_round10_portability_failure_20260724T1000+0200"
19,"CONF02_run_order_0p25","8396751","completed_v2_scientifically_ineligible",FALSE,TRUE,"00c535ce02d1c081340cd5ef7c26e3e74f69e3f5f3cf580794c41abe7cb073b8","5091ba9806b9fa5e33336787a3dc37288b28bdbc477e945222a5fbae121182cb","37f6cba635059168a87fe0317988e55f8a819ac626fcf426bafb3149f3268e76","b50ebf96217ed747f2fd36af4a4b2ebc9a512888516857cd4c95355af3141015",TRUE,"full_grid/archive/partial_confounding_v2_round10_portability_failure_20260724T1000+0200"
20,"CONF02_joint_0p25","8396751","completed_v2_scientifically_ineligible",FALSE,TRUE,"0735665c1556baf763a18e253f204664a88221617ff4b0a002a954f89b257073","e028e9350aec89e5063c1c42a92ad76806442577b859a2a2a07112979226d302","f828750ae40a0237a65a4d4a04e32b6007dbbe5e196ebef433e0dd5848220cee","07264c54c93b063908df2b9c2066c8790a11cc5d6555bdb1bfc379deb782db1c",TRUE,"full_grid/archive/partial_confounding_v2_round10_portability_failure_20260724T1000+0200"
21,"CONF02_batch_0p50","8396751","completed_v2_scientifically_ineligible",FALSE,TRUE,"e651842b0fedaa2fd88c565cd54d9da001b6b89505c6ec5dadc3992cea67c737","706798b05285e74d6a3b4535ec55d9f3b95c3c3896b2b72af5b4de5196cd1a58","d1799f32d12a2ee4f178e422dbddb77338fc51323b3d272e9cd86b21b6034bfe","f421cf1eb80ba43e2db6138dad6ea2dd19a68f1b984548d088cffec68a80aa2b",TRUE,"full_grid/archive/partial_confounding_v2_round10_portability_failure_20260724T1000+0200"
22,"CONF02_run_order_0p50","8396751","completed_v2_scientifically_ineligible",FALSE,TRUE,"1257a2cf399b138612ce11e0c2e3ace0d5fc19ff2c27010efe9899024034d0a8","26bbfe52ad7315c02c9aa5e9ad8afb68ef9891aff22d0c78c18363b8789d6ccb","b60126972ef9f267b654a6731107fb4ce8955d4b6bfb265ef5020cc5972ab6bd","731ccd1bd972357c4883a545df5208ad25c4fc14a81f97df137c67a17ef2e901",TRUE,"full_grid/archive/partial_confounding_v2_round10_portability_failure_20260724T1000+0200"
23,"CONF02_joint_0p50","8396751","completed_v2_scientifically_ineligible",FALSE,TRUE,"dc8bb30fb740a78c17a2d1ed188436ebce854e8d733ea72310dd4d8475e9f92c","3ec99d841c6238046b6985145e2a9ca056d70d3452871a25f8052f6656c550df","d0d5100ad72156253f5fbde0f68e77f2ca6f3d8c56394f2f3fac39a75da78442","37fc90e670c98fa2878139e12b81a689cda51c9f20eaee10f19350810d866b0a",TRUE,"full_grid/archive/partial_confounding_v2_round10_portability_failure_20260724T1000+0200"
24,"CONF02_batch_0p75","8396751","completed_v2_scientifically_ineligible",FALSE,TRUE,"84736fd199ee88d4cf88d855c9e39fd08f18c53f3f4214fd3a69f14faa41bee2","237b9ba03e52d73a7c96ffb03247ae1d2f953fba1a114651d9808aec03751780","46c9a90d04cf229cd292a759c66c46c4f608b1a2d6babd93a53f6c772023aa1f","9b644c817318f27c42f608c664a5ae18375f9c2a0cdcd1a90dc3ec3e390a2110",TRUE,"full_grid/archive/partial_confounding_v2_round10_portability_failure_20260724T1000+0200"
25,"CONF02_run_order_0p75","8396751","completed_v2_scientifically_ineligible",FALSE,TRUE,"5c9e6f74529b2a19cbcf9e9d8be9e75348b455fdd311eebd4c9aea51a08fe314","2e4968e3d2fb72611f100d087cc32224fae3d94ff1f83849911a4f26e89fafd9","b48ca6a69855edadff11929da2db4c121ba4b671fd33dd1ea03be7ed51deee01","fb604ca3bb684e05ef54bc93a7b7b84214851c21010a5b71a72b30add473489c",TRUE,"full_grid/archive/partial_confounding_v2_round10_portability_failure_20260724T1000+0200"
26,"CONF02_joint_0p75","8396751","completed_v2_scientifically_ineligible",FALSE,TRUE,"da032a1e5ca5a8f4881ae24fdc1e478bddd0ea9c9f3ac08affab6432f40ce43d","b6df3c58fd3b6acc46df8235b46fa08f8058edb7d68a539f351463143db359b4","1bc52709ff4289dc1c3264cc17539e188d7bf82f767b569c8082af87820b2abc","be6c674395b962157a1dec9b4346e414646d13e1e41058e38c4bd3c1331711fd",TRUE,"full_grid/archive/partial_confounding_v2_round10_portability_failure_20260724T1000+0200"
27,"CONF02_batch_0p90","8396751","completed_v2_scientifically_ineligible",FALSE,TRUE,"076f2bb081f5599aa2d94bdf6fdf2628d8f9bf45a36e931898cab1bbe48a4a05","9914e3ddbf5818081f683bbf9e9641483463f17c4d4f70e88adbefc3d614666a","fb153a206c8b04cf496bd614e82496d7bdccd969a9ffb896561262ed54134332","f2865fa442a9b05181b4d3a40bc74a0593ad9e6388ceacd4d15fdfe641f79da8",TRUE,"full_grid/archive/partial_confounding_v2_round10_portability_failure_20260724T1000+0200"
28,"CONF02_run_order_0p90","8396751","completed_v2_scientifically_ineligible",FALSE,TRUE,"bf54dd265c86713450eb999e8945638edab47dbfe8e341daa179a9f52536d9f0","09d468968510df39342f46d8a4cb2da8a312f9d53702807662bb1a1ffceceb34","5eaaccddc75bc58a1defa639feabf1668e03c64c815e36ff8527879420f72e02","a82669a8a36dca3d7703e6679dceb692aa05d97a553a002a53f2d7bae2edcdec",TRUE,"full_grid/archive/partial_confounding_v2_round10_portability_failure_20260724T1000+0200"
29,"CONF02_joint_0p90","8396751","completed_v2_scientifically_ineligible",FALSE,TRUE,"30995d3bc86fc69fba547e9e348a39a37d8668a9d919630aa9b3faa24ec71cde","29c2ab489c4c658e820ef670df3ff80ed4b50fa198d49f6259ec55ff2aa65845","4f362283b7c5cc982f64048f2617b6909669b1fa26ec12be2923f0e05763def8","b63acbfb75575b35720886e77cc75d5766d723b164667f61815614beaafb5fc3",TRUE,"full_grid/archive/partial_confounding_v2_round10_portability_failure_20260724T1000+0200"
30,"CONF02_batch_1p00","8396751","completed_v2_scientifically_ineligible",FALSE,TRUE,"ad8c1e882d81464e46e146e157a7eb00f714c67d3e3d2738fad4f1f5630a5ec7","cb205ff23eed7b26de0e2946e12e4f2b6dac79eec610f71c3bf2c19f10a1de48","8488a81b9b5d2cb1cd36034dd39c6cd63263ec18e1bd33d784cfec94bddb5e4d","532559f689edd633dd4c55ad8f1d25ce25913dc725287bbf7e4e8e1549ce0b3e",TRUE,"full_grid/archive/partial_confounding_v2_round10_portability_failure_20260724T1000+0200"
31,"CONF02_run_order_1p00","8396751","completed_v2_scientifically_ineligible",FALSE,TRUE,"517b60a3796cbacce03ad79ba444a0ab102efa078c42d5c2cb228aa877253456","a10068d5bedbd0c32168524b86d80ce3d34d0e7d367c6563869efe654affbb5e","e1aedb9d64f903a96a1d031629ca037029fd078b33aecfc25ea325b2f2dd29c4","9b1c57f575398d1b4f5581cc55146f064697b2aad31c25f694038a923fb7e067",TRUE,"full_grid/archive/partial_confounding_v2_round10_portability_failure_20260724T1000+0200"
32,"CONF02_joint_1p00","8396751","completed_v2_scientifically_ineligible",FALSE,TRUE,"6167cf1eb5817bc64c2bef278861473dda931da42e5e160fcf0413747fff0dca","5029de3ba4c6334ad6343ab044213a39977ded20e06a6e962c34226ebce74d5d","400f75fb4d8c9e92b869c9637d876eef2389f9d1bf3d2e3020029ab9530ef4ab","a7509beae9cec679555147582e590b61c1229f4fc3f162f3d816fc939594514f",TRUE,"full_grid/archive/partial_confounding_v2_round10_portability_failure_20260724T1000+0200"
33,"CONF03_none_0p00","8396751","completed_v2_scientifically_ineligible",FALSE,TRUE,"7132440dc642b7f0d410a40a62c2ea7a20973a697eef214e5e4ed61916595f09","4f08c166f75496d0fb0a121daed88de636e77a9d49ffbb0ac314789b22d8ba96","5fe832934f7a0c1549ee1486f70e658c47c070b798cc2819defa4277233efdb0","01126b8afadd3b188c028bba8e6aa862cc5bb184256d00f9f57552640b7bfdad",TRUE,"full_grid/archive/partial_confounding_v2_round10_portability_failure_20260724T1000+0200"
34,"CONF03_batch_0p25","8396751","completed_v2_scientifically_ineligible",FALSE,TRUE,"a9cb65e954b54b05b59432e4c4f2d7de82e233a32b80eaf5df229f2361e61838","aa51a2c535d9649136a75b0326d170e46bf46866516d99fc19ea37a2fe97cfdf","413b79ae1a1707f34672c2609a9a024b005f8bea39f89a2de3877625ead6664d","70a2bff2a2b8b6ea8479c7458b4465118aa60c8783a268ac075c45137168ea32",TRUE,"full_grid/archive/partial_confounding_v2_round10_portability_failure_20260724T1000+0200"
35,"CONF03_run_order_0p25","8396751","completed_v2_scientifically_ineligible",FALSE,TRUE,"a53e974263b08ef738e9fc17a4606726f54429ecbba757529bee7b3c91950b87","bf1e22e71883855d27ce567d6775fcd1d4591ecfc3b5efa6b98e57438b0ca348","8d2561385582679bfd4cb10e5ade525914037262f81bfb0376f5b2a30de9aabc","0262b4f680a785e963834d566ca4892640873505fb2ee16f50fbdbd32f9346b4",TRUE,"full_grid/archive/partial_confounding_v2_round10_portability_failure_20260724T1000+0200"
36,"CONF03_joint_0p25","8396751","completed_v2_scientifically_ineligible",FALSE,TRUE,"cb763de61e388526c114515d0aaf35805ac2e76754e57c7f8bcf776ea78ec9c1","c919e6c26a9d6803879043b26cd4b022acf94eb44e565d87e441b00938fc5d21","c8227a85c4afc80f85a5ecda52f97087d596d78469bb030eb9ab5117c4002f04","bb6e49dd21199071cc1bef8435dd57bf23932a7a99840ef9dc961e965f3ec002",TRUE,"full_grid/archive/partial_confounding_v2_round10_portability_failure_20260724T1000+0200"
37,"CONF03_batch_0p50","8396751","completed_v2_scientifically_ineligible",FALSE,TRUE,"51777a3299882ea3f921d3eeaed874109a5f2c8a155ed72e60a93cafb4cd5968","b5c1368bb850df0c27c25448121c1d8caaf5558a2fa3d5d6f9f991d9dd20ad14","cb2b88673a62bf87a8239737a71ec4d77985f315be66760a95f4e65f71afa69e","1a88010d8569ce2c441f2b679b91dfe0c68efd92778f5b634581a8903ffd28e7",TRUE,"full_grid/archive/partial_confounding_v2_round10_portability_failure_20260724T1000+0200"
38,"CONF03_run_order_0p50","8396751","completed_v2_scientifically_ineligible",FALSE,TRUE,"90ac42dd6b2463b2e5946c84ecf79fdbb1db9a61ada4792f71ff463388f23611","392d7a5bcd99ff129dfbd0d176aece0fd96e2673efd0f5345c84bbf445e52174","d668acad42fa2d84a11a56bdcad5469d117d7203d265d8a4b123b2b925e48a39","3ff2c9b14342577e20c079e90c2649fe693ce6082309c08502b45f14d5fe2de7",TRUE,"full_grid/archive/partial_confounding_v2_round10_portability_failure_20260724T1000+0200"
39,"CONF03_joint_0p50","8396751","completed_v2_scientifically_ineligible",FALSE,TRUE,"a022703360555d20bdc2714c6d26a48e8bfaea94cccc095af27f15f0b9c68d62","49104baca7aef169b2fcee42f28a5c7d2b12ee9ef025c9b044d2f47d125d1398","010aeffef5d3d6dd5ce5cb31bbd9bf3f85f4383b5276ce4f722dc2671ca32623","b51800819749ab9ff48919b75f64484620a69a41f023af279db038703ef2d829",TRUE,"full_grid/archive/partial_confounding_v2_round10_portability_failure_20260724T1000+0200"
40,"CONF03_batch_0p75","8396751","completed_v2_scientifically_ineligible",FALSE,TRUE,"a7c036d3b5fcb97823bc1a7f1c37716e166d83ca78da09645d256b491e0503e3","361e63518c6594018e39ef7c2a982887e651bf147cb071ba3c0a50a1499d50d5","abaab784406e1caf927f526bb387e808f7b1ef7fcca9b1ae4b35a7f6ee510ada","d1d6ac81965df8e9a9a3bca7833493e549c684e438b9ab9555d45afc617148a6",TRUE,"full_grid/archive/partial_confounding_v2_round10_portability_failure_20260724T1000+0200"
41,"CONF03_run_order_0p75","8396751","completed_v2_scientifically_ineligible",FALSE,TRUE,"f24d445b25b1f95827da5fc2e637f5f8363848f5925554d68e9541872c7e8862","6e16754976e75ef2cabefae1e943e2d9ef8b61f3db8eb9f47906bd1faf03a316","f9df50cdea48de3d2319b269aebd6c720b47fdc3f7d6b49c1bd641eeed17e557","539f590aa9dffdcaa2ee48e450f4606fdb288729a9fcb11c8fb30862ac1ebd9d",TRUE,"full_grid/archive/partial_confounding_v2_round10_portability_failure_20260724T1000+0200"
42,"CONF03_joint_0p75","8396751","completed_v2_scientifically_ineligible",FALSE,TRUE,"641181dfc0869b68c9a53a529bd008c0bc13a549033aed2a9d420720b20b540e","10271b448b7c5b293466e93a3b9af9f06b5c07430c8c0bf6201488a899471a27","fec262d66a5989f91beed4ae34bab5b8f2f900af97c3455b9abd8bf53cb70225","caefbe52b8fe2b87b0ddb07aa798dc23cde1abdb296f7ec4d1d85bd853947b9c",TRUE,"full_grid/archive/partial_confounding_v2_round10_portability_failure_20260724T1000+0200"
43,"CONF03_batch_0p90","8396751","completed_v2_scientifically_ineligible",FALSE,TRUE,"46dec709aee9678d8f799e64a45680521c6b9b55a988b71bfd7e966b0860e960","1b58d792465dbd5683e3348599ed6950a9c564fae3373d14802d7616f5d6037d","abb11763c5ae668408a0dfdd28cad70bc86cc6f8cbc3608b8bcea317b86bffdc","c15f8e267a63cd816a27bb498fd886623c66da0c075b2c5ebefc0a5f6b23f214",TRUE,"full_grid/archive/partial_confounding_v2_round10_portability_failure_20260724T1000+0200"
44,"CONF03_run_order_0p90","8396751","completed_v2_scientifically_ineligible",FALSE,TRUE,"5b3a31fc15c2abcd1af03f1f5da755d947bb58b0fdf74afe3d37d801fb83598c","9b38f7c2f36fac113317207efe6085743a788620276d91364c50f826725fc5ae","41ed962ff0bf540aeabd947708d4276fcab3e238626c9fd893cded0410b600ac","b5aee9e087d3e4b1294d7902a07227968794ae2aa936368973bbe6c33d2e6ef9",TRUE,"full_grid/archive/partial_confounding_v2_round10_portability_failure_20260724T1000+0200"
45,"CONF03_joint_0p90","8396751","completed_v2_scientifically_ineligible",FALSE,TRUE,"671b2a24dee7851ff93e7d68cb7e0a297d9e8988f711833a644ee9438aef0fb5","ecb0aa163fa7e2b6f94edfb413fc50c0f6a7c5f47a80fcd6f88110c1f3934b2d","857db5e1772c36e40cdc7d3ba222b9090ecdff67253a2bd67dd051b9fd4a45aa","5b69fff368317625cb444d163ce9c04686b72d60cdb5e2962548cc3dac73dc87",TRUE,"full_grid/archive/partial_confounding_v2_round10_portability_failure_20260724T1000+0200"
46,"CONF03_batch_1p00","8396751","completed_v2_scientifically_ineligible",FALSE,TRUE,"770ddf0dedc9b0cdf7cdff76e742c62866af3ac117018723dab440742963c9a1","fe68a90781f91fbdbe73c618a5977f415d9c3e79a3304bdd6364d0fffdaf7241","223b004bbf29244b7d506980b4d9042935abac914ed0739077302b2db3a70528","12500788295ffe7c35dd1db31bc45bef793a17441339d8db0b6032aba1a80a97",TRUE,"full_grid/archive/partial_confounding_v2_round10_portability_failure_20260724T1000+0200"
47,"CONF03_run_order_1p00","8396751","completed_v2_scientifically_ineligible",FALSE,TRUE,"63215e885ee4f118a2a952cb5a200f8cb95fa13ba1baf59d1b88bbd058e45598","e05b4ec2e3345e5011f711cf3b8114865786df112386688546857b5131d6316c","e464eab4ddab7b5a4b83a2cd0b781665b78b28bd774f6be3b7342a230cd52d76","cc1865342484968dbf7f03a0fe23fde6863f20277e2e872e49f51238c37ec390",TRUE,"full_grid/archive/partial_confounding_v2_round10_portability_failure_20260724T1000+0200"
48,"CONF03_joint_1p00","8396751","completed_v2_scientifically_ineligible",FALSE,TRUE,"64a46a1642029ce65e32cfb85845b3a91df5066ca1f5e27d2d4e2da6ef32d707","1f5822feeb62193d506944f9a34d363473dab4f0936bf1380dc2dc4ab5b37d33","63a434623c2b813f8086d41890ba61154cddaacde434a77beb9c5822369cda66","800669b7d3272bf947050c4658d7de29f5ebd0a568c57769ff13a4fa55e43d8c",TRUE,"full_grid/archive/partial_confounding_v2_round10_portability_failure_20260724T1000+0200"
49,"CONF04_none_0p00","8396751","completed_v2_scientifically_ineligible",FALSE,TRUE,"a094773d0b6de4b9e2bebddffd90d9d15a730c9fa3021ba72e2f540f8086c2a2","0ab2efd9fe61e9d87138620428b0632d10e89aa86d99c3b208d03c93ca08f840","b45091ae39d64eb43f0bb7d7a1471f408630b565d5897eb3bdc63e23295d423e","ae183c38e3876f51b6e22e1c74747e20bcc9ab77fc40cd3ffe92a321e69bd757",TRUE,"full_grid/archive/partial_confounding_v2_round10_portability_failure_20260724T1000+0200"
50,"CONF04_batch_0p25","8396751","completed_v2_scientifically_ineligible",FALSE,TRUE,"864c5db22a54291c3c2af91d59ed3648945eb06e13d6acb5a3d9f5f5eae7821e","4608460f7767a666a227d187f285d0be9dcd4ee77ce01c46fa02a8273e68ad8b","a08702b0bb89b96a1e2e36ec9e90a22322f4bf6925c6470fe1a16e578a8da074","534731546ad503e7edd83e6fbdc4a7f9f749a78a4676520541010f500ed9999b",TRUE,"full_grid/archive/partial_confounding_v2_round10_portability_failure_20260724T1000+0200"
51,"CONF04_run_order_0p25","8396751","completed_v2_scientifically_ineligible",FALSE,TRUE,"8d470d5c98b4f67b02d1bfc7c9b004a2f169f8277bf1fbfed46e7569a05cebef","97865355fa941c0bb9fa28d9a3512b449c5a5b6d340dba7142994253d71c9763","9c731c0be5b4089587204891b5861f114d7e3517349f7c6e7a4dd4100dcb67a9","4796d73bb43781b6e50eb0cc51631c051d8fca2f61f81537fc673bc0d2085a6a",TRUE,"full_grid/archive/partial_confounding_v2_round10_portability_failure_20260724T1000+0200"
52,"CONF04_joint_0p25","8396751","completed_v2_scientifically_ineligible",FALSE,TRUE,"a40041aa4d2448e5331fd3731559eab3590bd54ce65f22560fb2b638610dc46a","cf07e4fc5181d5e1c3555ba2c984697bd3704275dc648639da3a3b67fb2ffa60","eec04bae87241225e3d23048dccfedb224538b47f4d315e007736d9bafff83f8","490be8e1a751bf35635be8bfa905bcedb0ab8d004924cb6c8c61cb5b9cc36dc3",TRUE,"full_grid/archive/partial_confounding_v2_round10_portability_failure_20260724T1000+0200"
