"analysis_family","task_id","dataset_key","seed_id","split_id","method_id","method","output_dir","fallback_applied","nonfinite_values_returned","features_restored_to_raw","samples_with_nonfinite_output","rule"
"reference_split","REF_523","sacurine",,"SPLIT03","tiger","TIGER","results/reference_splits/sacurine/SPLIT03/tiger",FALSE,0,0,0,"TIGER output was finite."
"reference_split","REF_524","sacurine",,"SPLIT04","tiger","TIGER","results/reference_splits/sacurine/SPLIT04/tiger",FALSE,0,0,0,"TIGER output was finite."
"reference_split","REF_525","sacurine",,"SPLIT05","tiger","TIGER","results/reference_splits/sacurine/SPLIT05/tiger",FALSE,0,0,0,"TIGER output was finite."
"reference_split","REF_526","sacurine",,"SPLIT06","tiger","TIGER","results/reference_splits/sacurine/SPLIT06/tiger",FALSE,0,0,0,"TIGER output was finite."
"reference_split","REF_527","sacurine",,"SPLIT07","tiger","TIGER","results/reference_splits/sacurine/SPLIT07/tiger",FALSE,0,0,0,"TIGER output was finite."
"reference_split","REF_528","sacurine",,"SPLIT08","tiger","TIGER","results/reference_splits/sacurine/SPLIT08/tiger",FALSE,0,0,0,"TIGER output was finite."
"reference_split","REF_529","sacurine",,"SPLIT09","tiger","TIGER","results/reference_splits/sacurine/SPLIT09/tiger",FALSE,0,0,0,"TIGER output was finite."
"reference_split","REF_530","sacurine",,"SPLIT10","tiger","TIGER","results/reference_splits/sacurine/SPLIT10/tiger",FALSE,0,0,0,"TIGER output was finite."
"reference_split","REF_531","waveica",,"SPLIT01","tiger","TIGER","results/reference_splits/waveica/SPLIT01/tiger",TRUE,17,7,17,"A TIGER feature with any non-finite corrected value was restored to its complete uncorrected input profile."
"reference_split","REF_532","waveica",,"SPLIT02","tiger","TIGER","results/reference_splits/waveica/SPLIT02/tiger",TRUE,9,5,9,"A TIGER feature with any non-finite corrected value was restored to its complete uncorrected input profile."
"reference_split","REF_533","waveica",,"SPLIT03","tiger","TIGER","results/reference_splits/waveica/SPLIT03/tiger",TRUE,13,5,13,"A TIGER feature with any non-finite corrected value was restored to its complete uncorrected input profile."
"reference_split","REF_534","waveica",,"SPLIT04","tiger","TIGER","results/reference_splits/waveica/SPLIT04/tiger",TRUE,8,4,8,"A TIGER feature with any non-finite corrected value was restored to its complete uncorrected input profile."
"reference_split","REF_535","waveica",,"SPLIT05","tiger","TIGER","results/reference_splits/waveica/SPLIT05/tiger",TRUE,2,2,2,"A TIGER feature with any non-finite corrected value was restored to its complete uncorrected input profile."
"reference_split","REF_536","waveica",,"SPLIT06","tiger","TIGER","results/reference_splits/waveica/SPLIT06/tiger",TRUE,17,9,15,"A TIGER feature with any non-finite corrected value was restored to its complete uncorrected input profile."
"reference_split","REF_537","waveica",,"SPLIT07","tiger","TIGER","results/reference_splits/waveica/SPLIT07/tiger",TRUE,27,12,25,"A TIGER feature with any non-finite corrected value was restored to its complete uncorrected input profile."
"reference_split","REF_538","waveica",,"SPLIT08","tiger","TIGER","results/reference_splits/waveica/SPLIT08/tiger",TRUE,2,1,2,"A TIGER feature with any non-finite corrected value was restored to its complete uncorrected input profile."
"reference_split","REF_539","waveica",,"SPLIT09","tiger","TIGER","results/reference_splits/waveica/SPLIT09/tiger",TRUE,11,3,10,"A TIGER feature with any non-finite corrected value was restored to its complete uncorrected input profile."
"reference_split","REF_540","waveica",,"SPLIT10","tiger","TIGER","results/reference_splits/waveica/SPLIT10/tiger",TRUE,19,8,18,"A TIGER feature with any non-finite corrected value was restored to its complete uncorrected input profile."
